Ankomstdatum;Fynddatum;Djurslag;Resultat;coords.x1;coords.x2
2017-02-08;;Sångsvan;0;13.1105024221006;55.7962080060344
2017-02-08;;Svan (Släkte);0;13.1105024221006;55.7962080060344
2017-02-08;;Storskarv;0;13.1105024221006;55.7962080060344
2017-02-08;;Storskarv;0;13.1105024221006;55.7962080060344
2017-02-09;;Skata;0;15.0812290138672;57.2076227832509
2017-02-09;2017-02-01;Ormvråk;0;13.5175097760533;55.9254776717429
2017-02-09;;Stenknäck;0;17.7026165031265;59.7154614770201
2017-02-10;;Gräsand;0;18.7438211319449;59.7678893124904
2017-02-10;;Gräsand;0;18.7438211319449;59.7678893124904
2017-02-10;;Gräsand;0;18.7438211319449;59.7678893124904
2017-02-14;;Knölsvan;0;18.793441215049;59.5910905044084
2017-02-15;;Havsörn;0;18.2873795900744;59.8988632596438
2017-02-15;;Stadsduva;0;15.0381940106284;59.5200778060776
2017-02-15;;Stadsduva;0;15.0381940106284;59.5200778060776
2017-02-15;;Ormvråk;0;14.2755314161663;56.0437370548463
2017-02-16;;Sidensvans;0;16.2702609208606;59.941359318078
2017-02-16;;Havsörn;0;16.6755506428285;57.6916794244682
2017-02-20;;Havsörn;0;17.7023884946434;59.955481054368
2017-02-20;;Kattuggla;0;16.7191169758966;60.6481052510596
2017-02-23;;Gråsiska;0;14.0894044175466;59.297119824378
2017-02-27;;Kaja;0;16.5488579286949;59.5989857680225
2017-02-27;;Kaja;0;16.5488579286949;59.5989857680225
2017-02-27;;Kaja;0;16.5488579286949;59.5989857680225
2017-02-27;;Kaja;0;16.5488579286949;59.5989857680225
2017-02-28;;Havsörn;0;12.2001907535683;58.8223498912289
2017-02-28;;Havsörn;0;19.406656842887;63.5491161911214
2017-02-28;;Havsörn;0;19.385458943165;63.5406657196921
2017-02-28;;Havsörn;0;13.595301291247;58.2993289855727
2017-03-01;;Havsörn;0;16.4921707025814;57.2526878154803
2017-03-01;;Skrattmås;0;12.9913959080449;55.6029236639959
2017-03-01;;Duvhök;0;17.9371100544304;62.6323449684325
2017-03-01;;Häger;0;18.1258711127883;59.4510172647838
2017-03-01;;Sångsvan;0;15.0004161193756;60.7433896926905
2017-03-01;;Slaguggla;0;21.1967570988569;65.2046931220043
2017-03-01;;Gök;0;21.4747406038105;65.3194002345268
2017-03-01;;Sparvhök;0;20.3634756418154;63.7169996075235
2017-03-02;;Sparvhök;0;13.5441901155115;59.8712789444161
2017-03-02;;Knölsvan;0;15.9922119554319;58.1915419569601
2017-03-02;;Kaja;0;13.1872800586347;55.6983761139999
2017-03-02;;Kaja;0;13.1872800586347;55.6983761139999
2017-03-02;;Kaja;0;13.1872800586347;55.6983761139999
2017-03-02;;Kaja;0;13.1872800586347;55.6983761139999
2017-03-02;;Kaja;0;13.1872800586347;55.6983761139999
2017-03-02;;Slaguggla;0;13.1604538922361;60.3466828290042
2017-03-07;;Sångsvan;0;18.2128510036577;59.6001836148315
2017-03-08;;Ormvråk;0;13.3748592152038;55.7502404813739
2017-03-08;;Duvhök;0;13.1409476407193;55.5265034436593
2017-03-08;;Duvhök;0;15.6857192409936;60.8302064785131
2017-03-09;;Gås;0;13.4081182965787;60.8786191664789
2017-03-09;;Ormvråk;0;13.544901445763;55.7341366102168
2017-03-09;;Sparvhök;0;13.5958344179402;55.3921491741522
2017-03-10;;Domherre;0;22.1649373366317;65.5840900676339
2017-03-10;;Hornuggla;0;13.1973563975407;55.6500618297189
2017-03-14;;Havsörn;0;18.0100362973499;59.3651036110904
2017-03-14;;Knölsvan;0;18.1388363738327;59.3355275556658
2017-03-15;;Sparvhök;0;14.8565810632355;56.9104946010709
2017-03-16;;Havsörn;0;20.9801951992423;64.1817634189998
2017-03-16;;Gråsiska;0;17.1490758828078;61.2681362255852
2017-03-20;;Pilgrimsfalk;0;12.7724932577158;56.1859590573718
2017-03-20;;Havsörn;0;16.4674295394747;59.2896459235194
2017-03-20;;Havsörn;0;18.6066694655474;60.1300000554926
2017-03-20;;Havsörn;0;17.3473327925046;59.206134232181
2017-03-20;;Ormvråk;0;17.7870715434661;59.7243872988859
2017-03-20;;Havsörn;0;16.4013482583272;58.45963560637
2017-03-21;;Skata;0;13.3163410395444;59.5050315512547
2017-03-22;;Havsörn;0;18.2248373190086;57.0732876852886
2017-03-24;;Domherre;0;15.6676298682582;62.8406286949897
2017-03-24;;Gråtrut;0;12.6692862930109;56.1954139178574
2017-03-27;;Havsörn;0;17.7659211264402;59.5146029107094
